

                                                    S&L PROCESSING REPORT                                             Page  1

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing

       S                $10.00            CA                  01                 AB-100001      SDFSKJ84MS09123         $1.30

       S               $129.99            DB                  01                 BC-200002      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  01                 DE-300003      WI8HRW8H43FJSHF        $11.69

       L                $49.99            DB                  01                 EA-400004      LFW8H88W84HFW4F         $6.49

       S                $29.99            DB                  01                 CE-800007      WI8HRW8H43FJSHF         $3.89

       S               $129.99            DB                  01                 BD-110009      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  01                 DA-120010      WI8HRW8H43FJSHF        $11.69

       S                $10.00            CA                  01                 AC-130011      SDFSKJ84MS09123         $1.30

       L             $1,129.99            DB                  01                 CE-140012      247R20EHF02EF8E       $146.89

       L                $10.00            CA                  01                 CE-160101      SDFSKJ84MS09123         $1.30

       S               $129.99            DB                  01                 AB-170102      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  01                 CD-180103      WI8HRW8H43FJSHF        $11.69

       L                $49.99            DB                  01                 EA-190104      LFW8H88W84HFW4F         $6.49

       S                $20.00            CA                  01                 DE-210105      SDFSKJ84MS09123         $2.60

       S               $149.99            CR                  01                 AD-220106      247R20EHF02EF8E        $19.49

       S                $10.00            CA                  01                 BC-270111      SDFSKJ84MS09123         $1.30

       S             $1,129.99            DB                  01                 DE-280112      247R20EHF02EF8E       $146.89

       S                 $9.99            CR                  01                 AB-290113      WI8HRW8H43FJSHF         $1.29

       L                $49.99            DB                  02                 CD-300014      LFW8H88W84HFW4F         $6.49

       S               $149.99            CR                  02                 AC-330016      247R20EHF02EF8E        $19.49

                                                    S&L PROCESSING REPORT                                             Page  2

Transaction Code        Amount        Payment Type        Store Number        Invoice Number        SKU Code        Tax Owing

       S                $29.99            DB                  02                 AE-340017      WI8HRW8H43FJSHF         $3.89

       S               $129.99            DB                  02                 CB-360019      247R20EHF02EF8E        $16.89

       S                $89.99            CR                  02                 DC-370023      WI8HRW8H43FJSHF        $11.69

       L                $49.99            DB                  02                 ED-380024      LFW8H88W84HFW4F         $6.49

       S                $20.00            CA                  02                 AB-400025      SDFSKJ84MS09123         $2.60

       S               $149.99            CR                  02                 AC-410026      247R20EHF02EF8E        $19.49

       S                $29.99            DB                  02                 AD-420027      WI8HRW8H43FJSHF         $3.89

       S                $10.00            CA                  02                 AE-430028      SDFSKJ84MS09123         $1.30

       S               $129.99            DB                  02                 BA-440029      247R20EHF02EF8E        $16.89

       S             $1,129.99            DB                  02                 BE-470032      247R20EHF02EF8E       $146.89

       L               $149.99            DB                  02                 CB-490034      LFW8H88W84HFW4F        $19.49

       L                $49.99            DB                  02                 DC-540214      LFW8H88W84HFW4F         $6.49

       S               $149.99            CR                  02                 EB-570216      247R20EHF02EF8E        $19.49

